provincia,codigo_provincia,municipio,codigo_municipio,tipo_via,sigla,denominacion,direccion_completa,barrio
Murcia,30,MURCIA,30,CALLE,CL,HORNO,"CALLE HORNO, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HORNO,"CALLE HORNO, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HORNO,"CALLE HORNO, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HORNO,"CALLE HORNO, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HORNO,"CALLE HORNO, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HORNO (EL CARMEN),"CALLE HORNO (EL CARMEN), MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HORNO (STA EULALIA),"CALLE HORNO (STA EULALIA), MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HORNO (STGO Y ZARAICHE),"CALLE HORNO (STGO Y ZARAICHE), MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HORNO VIEJO,"CALLE HORNO VIEJO, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HORTELANOS,"CALLE HORTELANOS, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HUELVA,"CALLE HUELVA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HUERFANOS,"CALLE HUERFANOS, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HUERTA,"CALLE HUERTA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HUERTA,"CALLE HUERTA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HUERTA,"CALLE HUERTA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HUERTA,"CALLE HUERTA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HUERTA,"CALLE HUERTA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HUERTA DE MURCIA,"CALLE HUERTA DE MURCIA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HUERTA MURCIA,"CALLE HUERTA MURCIA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HUERTA PASO,"CALLE HUERTA PASO, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HUERTANO ANTONIO TERUEL,"CALLE HUERTANO ANTONIO TERUEL, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HUERTAS,"CALLE HUERTAS, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HUERTO,"CALLE HUERTO, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HUERTO,"CALLE HUERTO, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HUERTO,"CALLE HUERTO, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HUERTO ALIX,"CALLE HUERTO ALIX, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HUERTO CADENAS,"CALLE HUERTO CADENAS, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HUERTO CAPUCHINOS,"CALLE HUERTO CAPUCHINOS, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HUERTO DE LOS ORTINES,"CALLE HUERTO DE LOS ORTINES, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HUERTO DEL VIZCONDE,"CALLE HUERTO DEL VIZCONDE, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HUERTO GAMBIN,"CALLE HUERTO GAMBIN, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HUERTO MANU,"CALLE HUERTO MANU, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HUERTO PICO,"CALLE HUERTO PICO, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HUERTO POMARES,"CALLE HUERTO POMARES, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HUERTO SIMONES,"CALLE HUERTO SIMONES, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HUERTOS,"CALLE HUERTOS, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HUERTOS,"CALLE HUERTOS, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HUERTOS,"CALLE HUERTOS, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HUESCA,"CALLE HUESCA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,I (ZM-SA1),"CALLE I (ZM-SA1), MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,I PP ZB-TR1 VILLA-AZAHAR,"CALLE I PP ZB-TR1 VILLA-AZAHAR, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,I PP ZU-SU-JA3,"CALLE I PP ZU-SU-JA3, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,I SECTOR ZB-PM7,"CALLE I SECTOR ZB-PM7, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,I UA1 PP ZM-DR3,"CALLE I UA1 PP ZM-DR3, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,IBN SABIN,"CALLE IBN SABIN, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,ICARO,"CALLE ICARO, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,IGLESIA,"CALLE IGLESIA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,IGLESIA,"CALLE IGLESIA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,IGLESIA,"CALLE IGLESIA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,IGLESIA,"CALLE IGLESIA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,IGLESIA,"CALLE IGLESIA, MURCIA, Murcia",DESCONOCIDO
